from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
JUN	TNFAIP6		0	expression regulates	->	1	GErel
JUN	VEGFB		0	GErel: expression	->	1	GErel
JUN	IL8	A	1			0	other
JUNB	MAPK11		0	PPrel: activated by, phosphorylation	<-	1	PPrel
JUNB	SMAD4		0	complex; expression regulates; input	->	1	GErel
LDHC	MYC		0	GErel: expression by	<-	1	GErel
LSP1	MAPK11		0	activated by	<-	1	PPrel
MAGEA2	MYC		0	expression regulated by	<-	1	GErel
MAPK11	MYC		0	activate; catalyze	->	1	PPrel
MAPK11	RELA		0	PPrel: activation, indirect effect	->	1	PPrel
MAPK11	REST		0	expression regulated by	<-	1	GErel
MAPK11	SMAD2		0	PPrel: activation, phosphorylation, indirect effect	->	1	PPrel
MAPK11	SRC		0	activated by; catalyzed by	<-	1	PPrel
MMP14	RELA		0	expression regulated by	<-	1	GErel
MYB	MYC	A	1	expression regulates	->	1	GErel
MYB	RELA		0	GErel: expression by	<-	1	GErel
MYC	ASCL2	A	1			0	other
MYC	DDX11	A	1			0	other
MYC	FOSL1	A	1			0	other
MYC	GSTP1	A	1			0	other
MYC	HSD11B2	A	1			0	other
MYC	IL2	A	1			0	other
MYC	JUN	A	1			0	other
MYC	JUNB	A	-1			0	other
MYC	MNX1	A	1			0	other
MYC	MPO	A	1			0	other
MYC	MST1	A	-1			0	other
MYC	RELA		0	expression regulated by	<-	1	GErel
MYC	SIM2	A	1			0	other
MYC	SLC9A3R2	A	1			0	other
MYC	SMAD2		0	GErel: repressed by; activated by; complex; inhibit; input	-|	1	GErel
MYC	SMAD4		0	GErel: repressed by; activated by; complex; input; reaction	-	1	GErel
MYC	TADA2A		0	predicted	-	0.64	predicted
MYC	TCF7		0	GErel: expression by	<-	1	GErel
MYC	TEAD3		0	GErel: expression by	<-	1	GErel
MYC	TNFRSF8	A	1			0	other
MYC	TRAP1	A	1			0	other
MYC	WT1	A	1			0	other
MYC	VEGFB		0	GErel: expression	->	1	GErel
MYC	UCN3		0	expression regulates	->	1	GErel
MYC	TBRG4		0	expression regulates	->	1	GErel
MYC	DLEU2	A	-1			0	other
MYC	ENTPD7	A	1			0	other
NR0B1	RELA		0	predicted	-	0.54	predicted
NR5A1	SMAD4		0	reaction	-	1	ECrel
RBPMS	SMAD4		0	predicted	-	0.64	predicted
RBX1	RELA		0	catalyze; complex; input	->	1	PPrel
REL	CD40LG	A	1			0	other
REL	CSF2	A	1			0	other
REL	CSRP1	A	1			0	other
REL	IL2	A	1			0	other
REL	RELA		0	predicted	-	1	predicted
REL	TNIP2		0	predicted	-	0.64	predicted
RELA	ABCB1	A	1			0	other
RELA	BCL2L1	A	1			0	other
RELA	CCL3	A	1			0	other
RELA	CCL4	A	1			0	other
RELA	CD40LG	A	1			0	other
RELA	CD83	A	1			0	other
RELA	CSF2	A	1			0	other
RELA	EDN1	A	1			0	other
RELA	GSTP1	A	1			0	other
RELA	IL1A	A	-1			0	other
RELA	IL2	A	1			0	other
RELA	MMP14	A	1			0	other
RELA	MYC	A	1			0	other
RELA	RNF25		0	predicted	-	0.64	predicted
RELA	SAA2	A	1	expression regulates	->	1	GErel
RELA	SMAD4		0	activate	->	1	PPrel
RELA	SRC		0	activated by	<-	1	PPrel
RELA	TNIP2		0	activated by	<-	1	PPrel
RELA	WT1	A	1	expression regulates	->	1	GErel
RELA	VEGFB		0	GErel: expression	->	1	GErel
RELA	IL8	A	1			0	other
RELA	ZDHHC13		0	predicted	-	0.54	predicted
RUNX3	SMAD4		0	complex; input	-	1	PPrel
SMAD2	SMAD4		0	PPrel: activation; PPrel: binding/association; complex; inhibited by; input; reaction	|->	1	ECrel
SMAD4	BAMBI	A	1			0	other
SMAD4	JUN	A	1			0	other
SMAD4	MYC	A	1			0	other
SMAD4	SUMO1		0	predicted	-	0.99	predicted
SMAD4	TCF7		0	PPrel: activation	->	1	PPrel
SMAD4	TLE2		0	inhibited by	|-	1	other
WT1	MYC	A	-1			0	other
