Gene	logFC	P.Value	nes	pval	Eigen_centrality	Eigen_directed_centrality	Eigen_reverse_centrality	Page_rank	page_rank_directed	Page_rank_reverse	TF
ABCC6P1	-0.146797420395145	0.242284902980837	0	1	0	0	0	0	0	0	FALSE
ABCC6P2; ABCC6; ABCC6P1	-0.271789280691031	0.1394954840341	0	1	0	0	0	0	0	0	FALSE
ABCC8	-0.100044777946728	0.580332520751639	0	1	0	0	0	0	0	0	FALSE
ABCC9	0.034856302446597	0.899598920639776	0	1	0	0	0	0	0	0	FALSE
ABCD1	-0.216429660916315	0.139689866827318	0	1	0	0	0	0	0	0	FALSE
ABCD2	-0.153865985909259	0.539589634600693	0	1	0	0	0	0	0	0	FALSE
ABCD3	-0.0926284533034831	0.524529890970928	0	1	0	0	0	0	0	0	FALSE
ABCD4	-0.15656565164338	0.117621135666533	0	1	0	0	0	0	0	0	FALSE
ABCE1	0.353596362452065	0.000145601202120191	0	1	0	0	0	0	0	0	FALSE
ABCF1	0.25111903400239	0.060702468263205	0	1	0	0	0	0	0	0	FALSE
ABCF2	-0.66094046148166	0.00764698555336323	0	1	0	0	0	0	0	0	FALSE
ABCF3	-0.285792955783798	0.00544715507007851	0	1	0	0	0	0	0	0	FALSE
ABCG1	0.16380420377031	0.251187198557966	0	1	0	0	0	0	0	0	FALSE
ABCG2	0.050547746181107	0.656902987385575	0	1	0	0	0	0	0	0	FALSE
ABCG4	-0.287722457788166	0.246613388506528	0	1	0	0	0	0	0	0	FALSE
ABCG5	0.0266099160286348	0.671023204271937	0	1	0	0	0	0	0	0	FALSE
ABCG8	0.320631805804035	0.0203784074745775	0	1	0	0	0	0	0	0	FALSE
ABHD1	-0.0102158812263804	0.893857313852511	0	1	0	0	0	0	0	0	FALSE
ABHD10	-0.217007570302536	0.382929741745354	0	1	0	0	0	0	0	0	FALSE
ABHD11	0.183618073534455	0.103776571088065	0	1	0	0	0	0	0	0	FALSE
ABHD12	-0.119983701463565	0.519596022052953	0	1	0	0	0	0	0	0	FALSE
ABHD12B; MIR4454	-0.109031689389725	0.086916695699934	0	1	0	0	0	0	0	0	FALSE
ABHD13	0.0378255100141427	0.682131584515642	0	1	0	0	0	0	0	0	FALSE
ABHD14A-ACY1; ACY1	0.0877213483474009	0.584236736359689	0	1	0	0	0	0	0	0	FALSE
ABHD14A; ACY1	-0.0736869571305169	0.73080917785424	0	1	0	0	0	0	0	0	FALSE
ABHD14B	-0.0184287721926033	0.846736577179907	0	1	0	0	0	0	0	0	FALSE
ABHD15	0.169179440830003	0.0593381610132009	0	1	0	0	0	0	0	0	FALSE
ABHD16A	-0.499287574238231	0.00030822580557261	0	1	0	0	0	0	0	0	FALSE
ABHD16B	0.17905897575552	0.44017283175506	0	1	0	0	0	0	0	0	FALSE
ABHD17A	0.0163743527172713	0.82554377162808	0	1	0	0	0	0	0	0	FALSE
ABHD17B	0.0674147331884833	0.727625646893419	0	1	0	0	0	0	0	0	FALSE
ABHD17C	0.0164318585829708	0.76615124329997	0	1	0	0	0	0	0	0	FALSE
ABHD2	0.115082507587831	0.382144073629654	0	1	0	0	0	0	0	0	FALSE
ABHD3	-0.815229810581234	0.0172515411731461	0	1	0	0	0	0	0	0	FALSE
ABHD4	0.192495549996438	0.0305847474650374	0	1	0	0	0	0	0	0	FALSE
ABHD5	0.202052900722436	0.00674869324541439	0	1	0	0	0	0	0	0	FALSE
ABHD6	-0.0766826992559704	0.812505878875679	0	1	0	0	0	0	0	0	FALSE
ABHD8	0.147693133388717	0.112377761899251	0	1	0	0	0	0	0	0	FALSE
ABI1	0.394617792745904	0.0989186894645044	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.0401509672767335	0.71354578601654	0	1	0	0	0	0	0	0	FALSE
ABI3	0.132126652359941	0.635269656799474	0	1	0	0	0	0	0	0	FALSE
ABI3BP	-0.393849026403152	0.0303577556182685	0	1	0	0	0	0	0	0	FALSE
ABL1	0.246313882355202	0.0418444566863891	0	1	0	0	0	0	0	0	FALSE
ABL2	0.193324190728689	0.309179638855017	0	1	0	0	0	0	0	0	FALSE
ABLIM1	0.0867839052290433	0.650937815334739	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.0426392172621424	0.857579241538815	0	1	0	0	0	0	0	0	FALSE
ABLIM3	0.0403176891120833	0.73622961678407	0	1	0	0	0	0	0	0	FALSE
ABO	0.0420944179093192	0.705740089233404	0	1	0	0	0	0	0	0	FALSE
ABR	-0.149196435831285	0.618610906129133	0	1	0	0	0	0	0	0	FALSE
ABRA	0.116272129876457	0.50641224126616	0	1	0	0	0	0	0	0	FALSE
ABRACL	-0.114862178135091	0.090459484387002	0	1	0	0	0	0	0	0	FALSE
ABT1	-0.489833703554814	0.0368273644294054	0	1	0	0	0	0	0	0	FALSE
ABTB1	0.429116258152233	0.136860471207238	0	1	0	0	0	0	0	0	FALSE
ABTB2	-0.300186131425005	0.185806353754272	0	1	0	0	0	0	0	0	FALSE
ACAA1	-0.235188550075039	0.318040561736192	0	1	0	0	0	0	0	0	FALSE
ACAA2	0.16343072104638	0.545590726498101	0	1	0	0	0	0	0	0	FALSE
ACACA	-0.202306453865116	0.21836525893929	0	1	0	0	0	0	0	0	FALSE
ACACB	0.0536003767920681	0.79965535329787	0	1	0	0	0	0	0	0	FALSE
ACAD10	0.212542718157691	0.0146834804061359	0	1	0	0	0	0	0	0	FALSE
ACAD11; NPHP3; NPHP3-ACAD11	-0.163252850650824	0.139248960755584	0	1	0	0	0	0	0	0	FALSE
ACAD8	0.0774990937860913	0.197664464116862	0	1	0	0	0	0	0	0	FALSE
ACAD9	0.0986376977501227	0.215589455397582	0	1	0	0	0	0	0	0	FALSE
ACADL	-0.214386116099234	0.481845078218709	0	1	0	0	0	0	0	0	FALSE
ACADM	0.286602012629252	0.000601090122894331	0	1	0	0	0	0	0	0	FALSE
ACADS	-0.429386408366419	0.0511430611689037	0	1	0	0	0	0	0	0	FALSE
ACADSB	0.0971039639221802	0.478699425592171	0	1	0	0	0	0	0	0	FALSE
ACADVL	-0.0677229813229732	0.737661999610267	0	1	0	0	0	0	0	0	FALSE
ACAN	-0.252095979239406	0.248063277449253	0	1	0	0	0	0	0	0	FALSE
ACAP1	-0.622173140386861	0.0292759137294838	0	1	0	0	0	0	0	0	FALSE
ACAP2	-0.123767192385518	0.306225318296143	0	1	0	0	0	0	0	0	FALSE
ACAP3	0.253997768503391	0.171317655460929	0	1	0	0	0	0	0	0	FALSE
ACAT1	0.0707466051967902	0.276064412988276	0	1	0	0	0	0	0	0	FALSE
ACAT2	0.0846337150617984	0.439042151095328	0	1	0	0	0	0	0	0	FALSE
ACBD3	0.4902799337209	0.00163888880463847	0	1	0	0	0	0	0	0	FALSE
ACBD4	-0.137477826650922	0.0800012885624934	0	1	0	0	0	0	0	0	FALSE
ACBD5	-0.190949665371621	0.225492046088732	0	1	0	0	0	0	0	0	FALSE
ACBD6	-0.0377646413039099	0.90794178896641	0	1	0	0	0	0	0	0	FALSE
ACCS	0.100617714163552	0.170835713719085	0	1	0	0	0	0	0	0	FALSE
ACD	0.0127836501500651	0.893877309250356	0	1	0	0	0	0	0	0	FALSE
ACE	-0.00190650562733652	0.993409070706516	0	1	0	0	0	0	0	0	FALSE
ACE2	-0.0466827825314793	0.869647806360164	0	1	0	0	0	0	0	0	FALSE
ACER1	-0.0437187687631821	0.627623996025337	0	1	0	0	0	0	0	0	FALSE
ACER3	-1.08205726176252	0.0215435297351882	0	1	0	0	0	0	0	0	FALSE
ACHE	0.135082809418778	0.0869138967234317	0	1	0	0	0	0	0	0	FALSE
ACIN1	-0.532606482914961	0.0729799405487168	0	1	0	0	0	0	0	0	FALSE
ACKR1	-0.129709364184222	0.639470007759606	0	1	0	0	0	0	0	0	FALSE
ACKR1; CADM3	0.163290846843401	0.00225255672813217	0	1	0	0	0	0	0	0	FALSE
ACKR2	0.129512900117647	0.292323265761347	0	1	0	0	0	0	0	0	FALSE
ACKR3	0.144149225838533	0.550277703832227	0	1	0	0	0	0	0	0	FALSE
ACKR4	-0.564900689830718	0.0627841620444868	0	1	0	0	0	0	0	0	FALSE
ACLY	-0.0236274066368214	0.863265347699594	0	1	0	0	0	0	0	0	FALSE
ACMSD	0.0592779679226845	0.664527275319295	0	1	0	0	0	0	0	0	FALSE
ACO1	-0.211067122994974	0.493967176691964	0	1	0	0	0	0	0	0	FALSE
ACO2	-0.0296492954500218	0.693670373676625	0	1	0	0	0	0	0	0	FALSE
ACOT1; ACOT2	-0.08731908958251	0.6063272490964	0	1	0	0	0	0	0	0	FALSE
ACOT11	0.0553087760414908	0.486330153709078	0	1	0	0	0	0	0	0	FALSE
ACOT12	-0.397460617790729	0.0252374545661788	0	1	0	0	0	0	0	0	FALSE
ACOT13	0.209360529153922	0.250106238674532	0	1	0	0	0	0	0	0	FALSE
ACOT4	0.275083168515354	0.0059905429608722	0	1	0	0	0	0	0	0	FALSE
ACOT6	0.105021790274927	0.406620090418374	0	1	0	0	0	0	0	0	FALSE
ACOT7	0.201890800602724	0.447428481598808	0	1	0	0	0	0	0	0	FALSE
ACOT8	0.034062235891458	0.564331672087847	0	1	0	0	0	0	0	0	FALSE
ACOT9	-0.0223049924802567	0.877046415438278	0	1	0	0	0	0	0	0	FALSE
ACOX1	0.13355828909929	0.296626170609298	0	1	0	0	0	0	0	0	FALSE
ACOX2	0.253250616629678	0.00238850640255548	0	1	0	0	0	0	0	0	FALSE
ACOX3	0.194242479936632	0.190315964658475	0	1	0	0	0	0	0	0	FALSE
ACOXL	-0.121563606540536	0.309594028324544	0	1	0	0	0	0	0	0	FALSE
ACP1	-0.331145947107145	0.0751854882502148	0	1	0	0	0	0	0	0	FALSE
ACP2	-0.0108937279006911	0.847077750060227	0	1	0	0	0	0	0	0	FALSE
ACP5	0.226316425358518	0.109100126265562	0	1	0	0	0	0	0	0	FALSE
ACP6	-0.0331025651835475	0.718654872702646	0	1	0	0	0	0	0	0	FALSE
ACPP	-0.0908364901933951	0.549079498780354	0	1	0	0	0	0	0	0	FALSE
ACPT	0.50273349705992	0.00403689949513714	0	1	0	0	0	0	0	0	FALSE
ACR	0.128290337131569	0.56022342581662	0	1	0	0	0	0	0	0	FALSE
ACRBP	0.0835298807107119	0.145983293913245	0	1	0	0	0	0	0	0	FALSE
ACRC	-0.0642745886939036	0.403336345415737	0	1	0	0	0	0	0	0	FALSE
ACRV1	0.0305333513191414	0.876510946607103	0	1	0	0	0	0	0	0	FALSE
ACSBG1	-0.147609181309288	0.387399138197728	0	1	0	0	0	0	0	0	FALSE
ACSBG2	-0.0042448613327899	0.931490564090136	0	1	0	0	0	0	0	0	FALSE
ACSF2	-0.00990783026330888	0.91442627062765	0	1	0	0	0	0	0	0	FALSE
ACSF3	0.121313043537099	0.573806498188957	0	1	0	0	0	0	0	0	FALSE
ACSL1	0.284623739409941	0.00349280720867509	0	1	0	0	0	0	0	0	FALSE
ACSL3	-0.0611192255661535	0.839318017736452	0	1	0	0	0	0	0	0	FALSE
ACSL4	0.291843911278887	0.112276544694997	0	1	0	0	0	0	0	0	FALSE
ACSL5	0.918999072290371	4.97846877915728e-05	0	1	0.0572316318207675	0	0.569840290998054	0.00663431899022906	0.00360707372497617	0.0184276443650562	FALSE
ACSL6	0.171053816479999	0.114846846034551	0	1	0	0	0	0	0	0	FALSE
ACSM1	0.0876168780147895	0.350871339390867	0	1	0	0	0	0	0	0	FALSE
ACSM2A	-0.0806851087626415	0.406602260237863	0	1	0	0	0	0	0	0	FALSE
ACSM2A; ACSM2B	-0.112723995991081	0.651633205730563	0	1	0	0	0	0	0	0	FALSE
ACSM2B	-0.296587423818905	0.140299893123024	0	1	0	0	0	0	0	0	FALSE
ACSM3	0.732263066772203	0.0195391985073491	0	1	0	0	0	0	0	0	FALSE
ACSM5	0.376828292929199	0.0365934578397794	0	1	0	0	0	0	0	0	FALSE
ACSS1	-0.696466246847852	0.0150524032772349	0	1	0	0	0	0	0	0	FALSE
ACSS2	0.285999762399773	0.0601947271185868	0	1	0	0	0	0	0	0	FALSE
ACSS3	0.01772945045174	0.869831880630431	0	1	0	0	0	0	0	0	FALSE
ACTA1	-0.218149371994617	0.327591800520274	0	1	0	0	0	0	0	0	FALSE
ACTA2	0.102185573693037	0.501174362551965	0	1	0	0	0	0	0	0	FALSE
ACTA2-AS1	0.039522622016106	0.645582418484639	0	1	0	0	0	0	0	0	FALSE
ACTB	0.0760132977612669	0.599855153477213	0	1	0	0	0	0	0	0	FALSE
ACTB; ACTG1	0.166004804925439	0.055399541189814	0	1	0	0	0	0	0	0	FALSE
ACTC1	0.136621037010311	0.165728957965472	0	1	0	0	0	0	0	0	FALSE
ACTG1; ACTB	0.168004584561429	0.547338778134511	0	1	0	0	0	0	0	0	FALSE
ACTG1P17	-0.0244192205074416	0.70544772817787	0	1	0	0	0	0	0	0	FALSE
ACTG2	-0.127500214288483	0.40927725803184	0	1	0	0	0	0	0	0	FALSE
ACTL10	-0.499531472893077	0.052863155049278	0	1	0	0	0	0	0	0	FALSE
ACTL6A	0.308998680144272	0.399953494218752	0	1	0	0	0	0	0	0	FALSE
ACTL6B	0.034308657381771	0.865607269112311	0	1	0	0	0	0	0	0	FALSE
ACTL7A	0.11249594132079	0.227922010678952	0	1	0	0	0	0	0	0	FALSE
ACTL7B	-0.0244402203709182	0.651184070440258	0	1	0	0	0	0	0	0	FALSE
ACTL8	0.0685523694231396	0.285090994865697	0	1	0	0	0	0	0	0	FALSE
ACTL9	0.0872597593068418	0.599278216350932	0	1	0	0	0	0	0	0	FALSE
ACTN1	-0.473873551867382	0.114111759331793	0	1	0	0	0	0	0	0	FALSE
ACTN2	0.0975552395734653	0.517181159220608	0	1	0	0	0	0	0	0	FALSE
ACTN3	-0.0278020317056273	0.920952221241563	0	1	0	0	0	0	0	0	FALSE
ACTN4	-0.0579249426153154	0.526971085134245	0	1	0	0	0	0	0	0	FALSE
ACTR10	-0.233758596512245	0.459344506991548	0	1	0	0	0	0	0	0	FALSE
ACTR1A	0.483666235752223	0.0706931420001278	0	1	0	0	0	0	0	0	FALSE
ACTR1B	-0.451247445618141	0.0410081126718207	0	1	0	0	0	0	0	0	FALSE
ACTR2	0.0850921144643739	0.352905883236541	0	1	0	0	0	0	0	0	FALSE
ACTR3	-0.220244734256555	0.323932522290966	0	1	0	0	0	0	0	0	FALSE
ACTR3B	-0.0859435080445787	0.320696648194778	0	1	0	0	0	0	0	0	FALSE
ACTR3BP2	-0.0636050087679969	0.471020959532187	0	1	0	0	0	0	0	0	FALSE
ACTR3BP2; ACTR3BP5	-0.0206593321511095	0.883687942572207	0	1	0	0	0	0	0	0	FALSE
ACTR3BP5; ACTR3BP2	-0.0135705361572298	0.957164728167597	0	1	0	0	0	0	0	0	FALSE
ACTR3C	0.142515163451859	0.492664068177707	0	1	0	0	0	0	0	0	FALSE
ACTR5	-0.157479723464347	0.146262195254768	0	1	0	0	0	0	0	0	FALSE
ACTR6	-0.0975139486605255	0.669224360889295	0	1	0	0	0	0	0	0	FALSE
ACTR8	-0.109918356579026	0.380555017788216	0	1	0	0	0	0	0	0	FALSE
ACTRT2	-0.0308215283848901	0.90889536876518	0	1	0	0	0	0	0	0	FALSE
ACTRT3	0.186970818773894	0.335700978347392	0	1	0	0	0	0	0	0	FALSE
ACVR1	0.444004148949462	0.112455987592439	0	1	0	0	0	0	0	0	FALSE
ACVR1B	-0.192370279500516	0.132103942496139	0	1	0	0	0	0	0	0	FALSE
ACVR1C	-0.0153669063127815	0.884595158955643	0	1	0	0	0	0	0	0	FALSE
ACVR2A	0.100400782510147	0.367895710497293	0	1	0	0	0	0	0	0	FALSE
ACVR2B	0.226248788285228	0.369800596266074	0	1	0	0	0	0	0	0	FALSE
ACVR2B-AS1	0.0515086684734145	0.538846367755759	0	1	0	0	0	0	0	0	FALSE
ACVRL1	0.152099313881171	0.0228858967684102	0	1	0	0	0	0	0	0	FALSE
ACY1	0.0932112403796181	0.344024067912298	0	1	0	0	0	0	0	0	FALSE
ACY3	-0.248003937335528	0.161531892114604	0	1	0	0	0	0	0	0	FALSE
ACYP1	-0.0254023635126468	0.897352598661048	0	1	0	0	0	0	0	0	FALSE
ACYP2	0.162742556761633	0.0833426750864041	0	1	0	0	0	0	0	0	FALSE
ADA	-0.507163594279076	0.0529217178325595	0	1	0	0	0	0	0	0	FALSE
ADAD1	-0.194551418957284	0.439750704316842	0	1	0	0	0	0	0	0	FALSE
ADAD2	0.0503819261154335	0.793087709508659	0	1	0	0	0	0	0	0	FALSE
ADAL	-0.122652281908046	0.0725647259207876	0	1	0	0	0	0	0	0	FALSE
ADAM10	0.193013066641255	0.619584542031555	0	1	0	0	0	0	0	0	FALSE
ADAM11	0.0559188136462385	0.637943270676281	0	1	0	0	0	0	0	0	FALSE
ADAM12	-0.234586718158848	0.414381397379325	0	1	0	0	0	0	0	0	FALSE
ADAM15	0.189123855120818	0.462987686453545	0	1	0	0	0	0	0	0	FALSE
ADAM17	-0.0891027583498056	0.559253017860897	0	1	0	0	0	0	0	0	FALSE
ADAM18	0.0216281165364061	0.785806500132031	0	1	0	0	0	0	0	0	FALSE
ADAM19	-0.0263921173812588	0.919877005106011	0	1	0	0	0	0	0	0	FALSE
ADAM2	-0.132902098873631	0.437037280647926	0	1	0	0	0	0	0	0	FALSE
ADAM20	0.220919848907003	0.408767968915628	0	1	0	0	0	0	0	0	FALSE
ADAM21	-0.207136459083757	0.107577977553054	0	1	0	0	0	0	0	0	FALSE
ADAM22	-0.116670223091594	0.460510065093071	0	1	0	0	0	0	0	0	FALSE
ADAM23	0.00347260529754134	0.979438809235992	0	1	0	0	0	0	0	0	FALSE
ADAM28	-0.070419808353223	0.773333089588787	0	1	0	0	0	0	0	0	FALSE
ADAM30	-0.155754048325405	0.486839587923253	0	1	0	0	0	0	0	0	FALSE
ADAM32	-0.104141789625437	0.647692975921747	0	1	0	0	0	0	0	0	FALSE
ADAM33	0.0450052042155149	0.611646719140851	0	1	0	0	0	0	0	0	FALSE
ADAM3A	0.0110040405236447	0.931040978595784	0	1	0	0	0	0	0	0	FALSE
ADAM5	0.0398155663051842	0.876231652224331	0	1	0	0	0	0	0	0	FALSE
ADAM6	0.535964602536498	0.0113816427803807	0	1	0	0	0	0	0	0	FALSE
ADAM7	0.187545604892887	0.0533542815672764	0	1	0	0	0	0	0	0	FALSE
ADAM8	0.28315960093288	0.0431811457988056	0	1	0	0	0	0	0	0	FALSE
ADAM9	-0.134481590435486	0.294919093204932	0	1	0	0	0	0	0	0	FALSE
ADAMDEC1	0.156192212655217	0.420930714579619	0	1	0	0	0	0	0	0	FALSE
ADAMTS1	0.19845603718537	0.371814284270435	0	1	0	0	0	0	0	0	FALSE
ADAMTS10	0.115742678460032	0.0982774304830451	0	1	0	0	0	0	0	0	FALSE
ADAMTS12	0.141317474126747	0.168789667350193	0	1	0	0	0	0	0	0	FALSE
ADAMTS13	-0.302271035214275	0.0908073579355667	0	1	0	0	0	0	0	0	FALSE
ADAMTS14	0.0699991240741307	0.243814342969582	0	1	0	0	0	0	0	0	FALSE
ADAMTS15	-0.0446188030393839	0.75313517674624	0	1	0	0	0	0	0	0	FALSE
ADAMTS16	0.0600552298739974	0.352251446855305	0	1	0	0	0	0	0	0	FALSE
ADAMTS17	0.296815946386188	0.155029136173875	0	1	0	0	0	0	0	0	FALSE
ADAMTS18	-0.128055858268995	0.541960131672291	0	1	0	0	0	0	0	0	FALSE
ADAMTS19	0.329563141676213	0.220991990404119	0	1	0	0	0	0	0	0	FALSE
ADAMTS2	-0.0679107455691992	0.429132683221409	0	1	0	0	0	0	0	0	FALSE
ADAMTS20	0.0479962723855616	0.454085353193739	0	1	0	0	0	0	0	0	FALSE
ADAMTS3	-0.02604528115537	0.664053563814907	0	1	0	0	0	0	0	0	FALSE
ADAMTS4	0.028004785694661	0.807607562553151	0	1	0	0	0	0	0	0	FALSE
ADAMTS5	-0.382290846116539	0.0313750509225455	0	1	0	0	0	0	0	0	FALSE
ADAMTS6	0.0113101997068639	0.955616908586056	0	1	0	0	0	0	0	0	FALSE
ADAMTS7	-0.261949327624685	0.43907255597573	0	1	0	0	0	0	0	0	FALSE
ADAMTS8	0.11616442672095	0.145743269053849	0	1	0	0	0	0	0	0	FALSE
ADAMTS9	0.0164747568029385	0.953788381940804	0	1	0	0	0	0	0	0	FALSE
ADAMTS9-AS1	-0.312110668955419	0.0523987022515476	0	1	0	0	0	0	0	0	FALSE
ADAMTS9-AS2	-0.165649833677293	0.537364537487967	0	1	0	0	0	0	0	0	FALSE
ADAMTSL1	0.0945731079703829	0.397570977201285	0	1	0	0	0	0	0	0	FALSE
ADAMTSL2	-0.475107634664768	0.0243751538098914	0	1	0	0	0	0	0	0	FALSE
ADAMTSL3	0.103447985063376	0.293913727826214	0	1	0	0	0	0	0	0	FALSE
ADAMTSL4	0.196057629813652	0.177925030035818	0	1	0	0	0	0	0	0	FALSE
ADAMTSL5	-0.144176488706502	0.173493483689205	0	1	0	0	0	0	0	0	FALSE
ADAP1	-0.0349361062147979	0.90013031640186	0	1	0	0	0	0	0	0	FALSE
ADAP2	-0.223223049956131	0.243085831409477	0	1	0	0	0	0	0	0	FALSE
ADAR	-0.399737884677171	0.013174129523868	0	1	0	0	0	0	0	0	FALSE
ADARB1	-0.380541553837231	0.326929264623094	0	1	0	0	0	0	0	0	FALSE
ADARB2	-0.28349033917263	0.264085553989339	0	1	0	0	0	0	0	0	FALSE
ADARB2-AS1	-0.0693467419318283	0.501040600086684	0	1	0	0	0	0	0	0	FALSE
ADAT1	-0.320520430468252	0.007976529213202	0	1	0	0	0	0	0	0	FALSE
