from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
IL2	IL3RA		0	PPrel: activation	->	1	PPrel
IL2	IL7R		0	PPrel: activation	->	1	PPrel
IL2	IRS2		0	complex; input	-	1	PPrel
IL2	MAP2K1		0	activate; reaction	->	1	ECrel
IL2	MAPK11		0	activate	->	1	PPrel
IL2	NFATC2		0	GErel: expression by	<-	1	GErel
IL2	OSMR		0	PPrel: activation	->	1	PPrel
IL2	PTK2B		0	complex; input	-	1	PPrel
IL2	REL		0	expression regulated by	<-	1	GErel
IL2	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
IL2RB	MAPK11		0	activate	->	1	PPrel
IL5	RELA		0	GErel: expression by	<-	1	GErel
JAG1	RPS27A		0	complex; input	-	1	PPrel
JAG1	UBC		0	complex; input	-	1	PPrel
MAP2K1	MAPK11		0	PPrel: activation, phosphorylation	->	1	PPrel
MAP3K1	MAPK11		0	PPrel: activation, indirect effect; activate	->	1	PPrel
MAP3K1	RELA		0	PPrel: activation, indirect effect; activate	->	1	PPrel
MAPK11	MYC		0	activate; catalyze	->	1	PPrel
MAPK11	NFATC2		0	PPrel: activation, indirect effect	->	1	PPrel
MAPK11	NOS2		0	GErel: expression; GErel: expression, indirect effect	->	1	GErel
MAPK11	RELA		0	PPrel: activation, indirect effect	->	1	PPrel
MAPK11	RORC		0	GErel: expression, indirect effect	->	1	GErel
MAPK11	SMAD3		0	PPrel: activation, phosphorylation, indirect effect	->	1	PPrel
MAPK11	SPAG9		0	complex; input	-	1	PPrel
MAPK11	ZAP70		0	PPrel: activated by, phosphorylation	<-	1	PPrel
MYC	ATP6V1G2	A	1			0	other
MYC	CEACAM5	A	1			0	other
MYC	HIF1A	A	1			0	other
MYC	HSPA4	A	1			0	other
MYC	ID2	A	1			0	other
MYC	IL2	A	1			0	other
MYC	MGST1	A	1			0	other
MYC	MST1	A	-1			0	other
MYC	NTN3	A	1			0	other
MYC	PRTN3	A	1			0	other
MYC	RELA		0	expression regulated by	<-	1	GErel
MYC	RPL11		0	activate; complex; input	->	1	PPrel
MYC	RPL3	A	1			0	other
MYC	RXRA		0	GErel: expression by	<-	1	GErel
MYC	SIM2	A	1			0	other
MYC	SIRT6		0	PPrel: inhibited by	|-	1	PPrel
MYC	SMAD3		0	GErel: expression by; GErel: repressed by; activated by; complex; expression regulated by; input; reaction	-	1	GErel
MYC	TEAD1		0	GErel: expression by	<-	1	GErel
MYC	TPM2	A	1			0	other
MYC	VEGFC		0	GErel: expression	->	1	GErel
MYC	TBRG4		0	expression regulates	->	1	GErel
MYC	ZNF281		0	predicted	-	0.64	predicted
MYC	DLEU2	A	-1			0	other
MYC	HIST2H4A	A	1			0	other
MYC	MTERF	A	1			0	other
MYC	SLC1A5		0	GErel: expression	->	1	GErel
MYC	UCP3	A	1			0	other
NACA	RPS27A		0	predicted	-	0.59	predicted
NFATC2	IL2	A	1			0	other
NOS2	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
NOTCH2	RELA		0	predicted	-	0.54	predicted
NOTCH2	RPS27A		0	complex; input	-	1	PPrel
NOTCH2	UBC		0	complex; input	-	1	PPrel
NR4A3	RELA		0	predicted	-	0.54	predicted
NRIP2	RPS27A		0	predicted	-	0.66	predicted
NRIP2	UBC		0	predicted	-	0.7	predicted
PAWR	RELA		0	inhibite	-|	1	other
PIK3C2B	UBC		0	predicted	-	0.77	predicted
PSMB3	RELA		0	catalyze	->	1	PPrel
PSMB3	RPS27A		0	catalyze	->	1	PPrel
PSMB3	UBC		0	catalyze	->	1	PPrel
REL	IL2	A	1			0	other
REL	RELA		0	predicted	-	1	predicted
REL	RPS27A		0	input	-	1	other
REL	UBC		0	input	-	1	other
RELA	BCL2L1	A	1			0	other
RELA	CCL11	A	1			0	other
RELA	CCL2	A	1			0	other
RELA	CD40LG	A	1			0	other
RELA	CSF1	A	1			0	other
RELA	HIF1A	A	1			0	other
RELA	IL2	A	1			0	other
RELA	MICA	A	1			0	other
RELA	MYC	A	1			0	other
RELA	NOS2	A	1			0	other
RELA	RNF25		0	predicted	-	0.64	predicted
RELA	RPS27A		0	complex; input	-	1	PPrel
RELA	RXRA		0	activated by; inhibite; predicted	<-|	1	PPrel
RELA	SIRT6		0	predicted	-	0.64	predicted
RELA	SMAD3		0	predicted	-	0.64	predicted
RELA	SMARCE1		0	complex; reaction	-	1	ECrel
RELA	SREBF1		0	activated by; inhibite	<-|	1	PPrel
RELA	TNIP2		0	activated by	<-	1	PPrel
RELA	UBC		0	complex; input	-	1	PPrel
RELA	UBE2D1		0	input; reaction	-	1	ECrel
RELA	VAV1		0	PPrel: activated, indirect effect	<-	1	PPrel
RELA	VEGFC		0	GErel: expression	->	1	GErel
RELA	ZDHHC13		0	predicted	-	0.54	predicted
RNF213	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RNF213	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RNF25	UBC		0	predicted	-	0.64	predicted
RORC	SMAD3		0	GErel: expression by	<-	1	GErel
RPL11	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL24	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPL3	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPP30	RPS27A		0	complex	-	1	PPrel
RPS18	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	RSPO3		0	catalyzed by; input	<-	1	PPrel
RPS27A	RSPO4		0	catalyzed by; input	<-	1	PPrel
RPS27A	SMAD3		0	catalyzed by; complex; input	<-	1	PPrel
RPS27A	SPRY1		0	catalyzed by; complex; input	<-	1	PPrel
RPS27A	SSR1		0	complex; input	-	1	PPrel
RPS27A	TLE2		0	catalyzed by; input	<-	1	PPrel
RPS27A	TNIP2		0	catalyzed by; input	<-	1	PPrel
RPS27A	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UBE2N		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
RPS27A	UCHL5		0	complex; input	-	1	PPrel
RPS27A	UPF2		0	complex; input	-	1	PPrel
RPS27A	USP1		0	catalyzed by; complex; inhibited by; input	-	1	PPrel
RPS27A	VDAC1		0	input	-	1	other
RRAS2	SMAD3		0	predicted	-	0.64	predicted
RSPO3	UBC		0	catalyze; input	->	1	PPrel
RSPO4	UBC		0	catalyze; input	->	1	PPrel
RUNX1	IL2	A	1			0	other
RUNX1	SMAD3	A	1	complex; input	-	1	PPrel
RXRA	UBC		0	GErel: expression	->	1	GErel
SERTAD1	SMAD3		0	predicted	-	0.64	predicted
SMAD3	BGLAP	A	1			0	other
SMAD3	CYP17A1	A	-1			0	other
SMAD3	EPO	A	1			0	other
SMAD3	FOXP3	A	1			0	other
SMAD3	FSTL3	A	1			0	other
SMAD3	MYC	A	1			0	other
SMAD3	UBC		0	catalyze; complex; input	->	1	PPrel
SMAD3	UBE2D1		0	catalyzed by	<-	1	PPrel
SMAD3	ZNF823		0	expression regulates	->	1	GErel
SPRY1	UBC		0	catalyze; complex; input	->	1	PPrel
TLE2	UBC		0	catalyze; input	->	1	PPrel
TMEM160	UBC		0	predicted	-	0.77	predicted
TNIP2	UBC		0	catalyze; input	->	1	PPrel
UBC	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
UBC	UBE2N		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
UBC	UCHL5		0	complex; input	-	1	PPrel
UBC	USP1		0	catalyzed by; complex; inhibited by; input	-	1	PPrel
UBC	VDAC1		0	input	-	1	other
